jpid,USE1Code,USE1Desc,USE2Code,USE2Desc,USE3Code,USE3Desc
10822000100001 ,LEG,Yatabe,TEXP,[Kamikawarazaki-Nakanishi],PTR,Yatabe (R8)
10822000100002 ,LEG,Yatabe,NA,NA,NA,NA
10822000100100 ,RDV,Mizuho,TEXP,[Kamikawarazaki-Nakanishi],LEG,Yatabe Mizuho
10822000200000 ,LEG,Hanare,NA,NA,NA,NA
10822000300000 ,LEG,Iida,TEXP,[Midorino],NA,NA
10822000400000 ,LEG,Nakano,TEXP,[Midorino],NA,NA
10822000500000 ,IND,Katata,TEXP,[Midorino],LEG,Katata
10822000600000 ,LEG,Kamikayamaru,TEXP,[Midorino],NA,NA
10822000710000 ,LEG,Hanashima Shinden,TEXP,[Midorino],NA,NA
10822000720000 ,LEG,Shimokayamaru,TEXP,[Midorino],NA,NA
10822000800000 ,LEG,Kojirahazama,RDV,Green Town,NA,NA
10822000900000 ,LEG,Nichikuriyama,TEXP,[Midorino],NA,NA
10822001000000 ,LEG,Kamiyokoba,NA,NA,NA,NA
10822001100000 ,LEG,Sakaida,NA,NA,NA,NA
10822001200000 ,LEG,Sakaimatsu,NA,NA,NA,NA
10822001310000 ,LEG,Nezaki,TEXP,[Midorino],NA,NA
10822001320000 ,LEG,Furudate,TEXP,[Midorino],NA,NA
10822001400000 ,RDV,Midorigaoka,NA,NA,NA,NA
10822001500000 ,LEG,Higashimaruyama,NA,NA,NA,NA
10822001600000 ,LEG,Mase,TEXP,Kamikawarazaki-Nakanishi,RDV,Fujimigaoka
10822001700000 ,LEG,Nabenuma Shinden,NA,NA,NA,NA
10822001800000 ,LEG,Takasuka,NA,NA,NA,NA
10822001900000 ,LEG,Takarada,NA,NA,NA,NA
10822002000000 ,LEG,Shimana,TEXP,[Kamikawarazaki-Nakanishi],NA,NA
10822002100000 ,LEG,Nakabeppu,RDV,Beppu Gakuendai,NA,NA
10822002200000 ,LEG,Shimobeppu,NA,NA,NA,NA
10822002310000 ,LEG,Kamikawarazaki,TEXP,[Kamikawarazaki-Nakanishi],NA,NA
10822002320000 ,LEG,Kamikawarazaki,TEXP,[Kamikawarazaki-Nakanishi],NA,NA
10822002400000 ,LEG,Onigakubo,NA,NA,NA,NA
10822002500000 ,LEG,Takata,NA,NA,NA,NA
10822002600000 ,LEG,Omonoi,TEXP,[Katsuragi],NA,NA
10822002700000 ,LEG,Shimokawarazaki,TEXP,[Kamikawarazaki-Nakanishi],NA,NA
10822002800000 ,LEG,Mizuhori,NA,NA,NA,NA
10822002910000 ,TSC,Kitasato (GSI),NA,NA,NA,NA
10822002920000 ,LEG,Nishihiratsuka,TEXP,[Katsuragi],NA,NA
10822003000001 ,LEG,Higashihiratsuka,NA,NA,NA,NA
10822003000002 ,LEG,Higashihiratsuka,NA,NA,NA,NA
10822003100000 ,LEG,Shimohiratsuka,TEXP,[Katsuragi],NA,NA
10822003200000 ,LEG,Katsuraginesaki,TEXP,[Katsuragi],NA,NA
10822003300001 ,LEG,Karima,TEXP,[Katsuragi],NA,NA
10822003300002 ,LEG,Karima,TEXP,[Katsuragi],NA,NA
10822003400000 ,LEG,Nishiohashi,NA,NA,NA,NA
10822003500000 ,LEG,Nishioka,NA,NA,NA,NA
10822003600000 ,LEG,Onozaki,NA,NA,NA,NA
10822003700000 ,LEG,Shima,NA,NA,NA,NA
10822003800000 ,LEG,Taira,NA,NA,NA,NA
10822003900000 ,LEG,Ojirahazama,NA,NA,NA,NA
10822004000000 ,LEG,Yagihashi,NA,NA,NA,NA
10822004100000 ,LEG,Arai,NA,NA,NA,NA
10822004200000 ,LEG,Yamanaka,RDV,Yamanaka Gakuendai,NA,NA
10822004310000 ,TSC,Fujimoto,NA,NA,NA,NA
10822004320000 ,TSC,Owashi,NA,NA,NA,NA
10822004400000 ,LEG,Nakauchi,NA,NA,NA,NA
10822004500000 ,LEG,Tateno,NA,NA,NA,NA
10822004600000 ,LEG,Enokido,NA,NA,NA,NA
10822004700000 ,LEG,Kitanakazuma,NA,NA,NA,NA
10822004800000 ,LEG,Akatsuka,RDV,Toho Land,NA,NA
10822004900000 ,LEG,Shimohara,NA,NA,NA,NA
10822005000000 ,LEG,Kajiuchi,NA,NA,NA,NA
10822005100000 ,LEG,Minaminakazuma,RDV,Minaminakazuma Central,NA,NA
10822005200000 ,LEG,Shimoyokoba,RDV,Shimoyokoba,NA,NA
10822005300000 ,LEG,Inaoka,NA,NA,NA,NA
10822005400000 ,LEG,Kitanakajima,RDV,Kitanakajima-Gakuen Green Town,NA,NA
10822005500001 ,LEG,Ichinodai,RDV,Ichinodai,NA,NA
10822005500002 ,LEG,Ichinodai,NA,NA,NA,NA
10822005600000 ,LEG,Imaizumi,NA,NA,NA,NA
10822005700000 ,LEG,Aramakida,NA,NA,NA,NA
10822005800001 ,LEG,Teshirogi,NA,NA,NA,NA
10822005800002 ,LEG,Teshirogi,NA,NA,NA,NA
10822005900001 ,LEG,Nishionuma,NA,NA,NA,NA
10822005900002 ,LEG,Nishionuma,NA,NA,NA,NA
10822006000000 ,LEG,Kamihara,NA,NA,NA,NA
10822006100000 ,LEG,Matsunoki,NA,NA,NA,NA
10822006200100 ,TSC,Kannondai 1,IND,Research Park Hanare,NA,NA
10822006200200 ,TSC,Kannondai 2,NA,NA,NA,NA
10822006200300 ,TSC,Kannondai 3,NA,NA,NA,NA
10822006300100 ,TSC,Kasuga 1,NA,NA,NA,NA
10822006300200 ,TSC,Kasuga 2,NA,NA,NA,NA
10822006300300 ,TSC,Kasuga 3,NA,NA,NA,NA
10822006300400 ,TSC,Kasuga 4,NA,NA,NA,NA
10822006400100 ,TSC,Matsushiro 1,NA,NA,NA,NA
10822006400200 ,TSC,Matsushiro 2,NA,NA,NA,NA
10822006400300 ,TSC,Matsushiro 3,NA,NA,NA,NA
10822006400400 ,TSC,Matsushiro 4,NA,NA,NA,NA
10822006400500 ,TSC,Matsushiro 5,NA,NA,NA,NA
10822006500000 ,LEG,Saigo,NA,NA,NA,NA
10822006600000 ,TSC,Onogawa,LEG,Tateno,NA,NA
10822006700100 ,TSC,Higashi 1,NA,NA,NA,NA
