jpid,USE1Code,USE1Desc,USE2Code,USE2Desc,USE3Code,USE3Desc
10822000100001 ,PTR,Yatabe (R8),GNL,Yatabe,NA,NA
10822000100002 ,GNL,Yatabe,NA,NA,NA,NA
10822000100100 ,GNL,Yatabe Mizuho,NA,NA,NA,NA
10822000200000 ,GNL,Hanare,NA,NA,NA,NA
10822000300000 ,GNL,Iida,NA,NA,NA,NA
10822000400000 ,GNL,Nakano,NA,NA,NA,NA
10822000500001 ,GNL,Katata,NA,NA,NA,NA
10822000500002 ,IND,Katata,NA,NA,NA,NA
10822000600000 ,GNL,Kamikayamaru,NA,NA,NA,NA
10822000710000 ,GNL,Hanashima Shinden,NA,NA,NA,NA
10822000720000 ,GNL,Shimokayamaru,NA,NA,NA,NA
10822000800000 ,GNL,Kojirahazama,NA,NA,NA,NA
10822000900000 ,GNL,Nichikuriyama,NA,NA,NA,NA
10822001000000 ,GNL,Kamiyokoba,NA,NA,NA,NA
10822001100000 ,GNL,Sakaida,NA,NA,NA,NA
10822001200000 ,GNL,Sakaimatsu,NA,NA,NA,NA
10822001310000 ,GNL,Nezaki,NA,NA,NA,NA
10822001320000 ,GNL,Furudate,NA,NA,NA,NA
10822001400000 ,GNL,Midorigaoka,NA,NA,NA,NA
10822001500000 ,GNL,Higashimaruyama,NA,NA,NA,NA
10822001600000 ,GNL,Mase,NA,NA,NA,NA
10822001700000 ,GNL,Nabenuma Shinden,NA,NA,NA,NA
10822001800000 ,GNL,Takasuka,NA,NA,NA,NA
10822001900000 ,GNL,Takarada,NA,NA,NA,NA
10822002000000 ,TEXP,[Kamikawarazaki-Nakanishi],GNL,Shimana,NA,NA
10822002100000 ,GNL,Nakabeppu,NA,NA,NA,NA
10822002200000 ,GNL,Shimobeppu,NA,NA,NA,NA
10822002310000 ,TEXP,[Kamikawarazaki-Nakanishi],GNL,Kamikawarazaki,NA,NA
10822002320000 ,TEXP,[Kamikawarazaki-Nakanishi],GNL,Kamikawarazaki,NA,NA
